TOUCH   waitFrame = 112
177,357,-18,-16,SOUTHWEST,-138.3665,SWIPE,49
177,351,0,-6,SOUTH,-90,SWIPE,49
173,333,-4,-18,SOUTH,-102.5288,SWIPE,49
173,325,0,-8,SOUTH,-90,SWIPE,49
173,313,0,-12,SOUTH,-90,SWIPE,49
177,303,4,-10,SOUTH,-68.19859,SWIPE,49
181,291,4,-12,SOUTH,-71.56505,SWIPE,49
187,277,6,-14,SOUTHEAST,-66.80141,SWIPE,49
193,261,6,-16,SOUTH,-69.44395,SWIPE,49
193,255,0,-6,SOUTH,-90,SWIPE,49
195,241,2,-14,SOUTH,-81.8699,SWIPE,49
195,229,0,-12,SOUTH,-90,SWIPE,49
191,213,-4,-16,SOUTH,-104.0362,SWIPE,49
191,207,0,-6,SOUTH,-90,SWIPE,49
189,203,-2,-4,SOUTHWEST,-116.565,SWIPE,49
185,195,-4,-8,SOUTHWEST,-116.565,SWIPE,49
173,179,-12,-16,SOUTHWEST,-126.8699,SWIPE,49
171,175,-2,-4,SOUTHWEST,-116.565,SWIPE,49
167,167,-4,-8,SOUTHWEST,-116.565,SWIPE,49
161,163,-6,-4,SOUTHWEST,-146.3099,SWIPE,49
161,161,0,-2,SOUTH,-90,SWIPE,49
159,161,-2,0,WEST,180,SWIPE,49
159,161,0,0,WEST,180,SWIPE,49
157,161,-2,0,WEST,180,SWIPE,50
131,191,-26,30,NORTHWEST,130.9144,SWIPE,50
123,201,-8,10,NORTHWEST,128.6598,SWIPE,50
113,219,-10,18,NORTHWEST,119.0546,SWIPE,50
105,243,-8,24,NORTH,108.435,SWIPE,50
105,257,0,14,NORTH,90,SWIPE,50
109,275,4,18,NORTH,77.4712,SWIPE,50
117,285,8,10,NORTHEAST,51.34019,SWIPE,50
133,301,16,16,NORTHEAST,45,SWIPE,50
165,321,32,20,NORTHEAST,32.00538,SWIPE,50
175,327,10,6,NORTHEAST,30.96376,SWIPE,50
191,341,16,14,NORTHEAST,41.18592,SWIPE,50
199,355,8,14,NORTHEAST,60.25512,SWIPE,50
207,367,8,12,NORTHEAST,56.30993,SWIPE,50
215,383,8,16,NORTHEAST,63.43495,SWIPE,50
223,415,8,32,NORTH,75.96376,SWIPE,50
223,431,0,16,NORTH,90,SWIPE,50
217,451,-6,20,NORTH,106.6992,SWIPE,50
215,455,-2,4,NORTHWEST,116.565,SWIPE,50
209,467,-6,12,NORTHWEST,116.565,SWIPE,50
205,477,-4,10,NORTH,111.8014,SWIPE,50
195,493,-10,16,NORTHWEST,122.0054,SWIPE,50
191,499,-4,6,NORTHWEST,123.6901,SWIPE,50
185,505,-6,6,NORTHWEST,123.6901,SWIPE,50
SEPARATE   holdFrame = 202
